Student_ID,Department,CGPA,Tenth_Percentage,Twelfth_Percentage,Aptitude_Score,Coding_Score,Communication_Score,Internship,Certifications,Projects_Count,Attendance_Percentage,Backlogs,Placement_Status
S1001,IT,8.77,65.5,68.7,35,60,72,Yes,1,1,65.4,2,Not Placed
S1002,ECE,8.93,96.8,91.3,55,48,40,Yes,4,5,67.5,1,Placed
S1003,AI&DS,6.28,71.9,56.0,89,30,57,No,4,4,78.7,0,Placed
S1004,IT,7.36,93.4,90.0,40,90,81,No,4,4,81.8,2,Placed
S1005,IT,6.44,82.1,67.1,39,99,80,No,2,3,86.0,0,Not Placed
S1006,ECE,9.28,89.2,60.1,37,28,46,Yes,3,1,75.2,0,Not Placed
S1007,AI&DS,8.37,76.6,85.0,87,30,47,Yes,5,4,89.3,3,Not Placed
S1008,AI&DS,7.26,79.8,82.0,57,75,96,Yes,6,5,95.1,2,Not Placed
S1009,IT,6.24,76.2,92.7,87,86,94,No,6,2,92.3,2,Placed
S1010,CSE,7.18,63.4,86.6,71,81,77,Yes,5,0,66.4,0,Not Placed
S1011,IT,7.24,86.1,89.5,51,90,39,No,2,0,81.8,2,Not Placed
S1012,IT,8.77,67.1,67.1,35,99,71,Yes,5,0,68.7,0,Placed
S1013,IT,8.42,56.0,62.6,85,32,65,No,4,1,73.5,0,Not Placed
S1014,IT,9.37,82.8,87.3,79,50,43,No,1,3,99.5,0,Placed
S1015,ECE,7.79,62.6,89.7,38,75,85,No,0,4,70.0,3,Not Placed
S1016,AI&DS,6.45,95.4,97.6,96,69,63,Yes,6,2,82.5,1,Placed
S1017,ECE,8.71,96.0,72.7,99,68,74,Yes,3,5,86.6,0,Placed
S1018,ECE,8.89,94.3,71.0,66,29,75,Yes,3,2,89.6,1,Not Placed
S1019,ECE,8.13,70.9,88.4,68,94,45,No,2,5,84.6,2,Not Placed
S1020,IT,8.93,55.7,69.7,73,50,57,No,3,1,65.3,0,Not Placed
S1021,CSE,7.88,94.9,95.0,60,92,35,No,4,0,76.4,0,Not Placed
S1022,AI&DS,7.99,73.4,91.9,68,43,80,No,6,1,83.1,0,Placed
S1023,CSE,7.62,96.6,73.4,88,44,55,No,5,3,68.1,3,Not Placed
S1024,ECE,6.1,96.4,87.3,37,36,70,Yes,4,3,77.3,0,Placed
S1025,ECE,6.41,91.7,87.4,84,71,88,No,2,5,66.2,0,Placed
S1026,CSE,6.12,67.7,59.4,46,25,91,Yes,4,4,67.8,0,Not Placed
S1027,CSE,8.42,71.6,93.8,99,38,35,Yes,5,4,78.9,2,Placed
S1028,CSE,7.19,91.6,76.7,88,88,97,No,1,5,69.6,0,Placed
S1029,ECE,7.93,68.6,90.5,39,62,88,Yes,2,3,84.9,0,Not Placed
S1030,ECE,9.45,62.3,68.8,91,61,89,Yes,1,3,89.1,0,Placed
S1031,AI&DS,6.95,78.9,93.5,51,35,74,No,0,3,93.0,1,Not Placed
S1032,AI&DS,7.56,95.3,71.7,81,27,49,Yes,1,1,72.0,3,Not Placed
S1033,ECE,8.87,84.9,55.5,57,57,55,No,0,3,70.9,1,Not Placed
S1034,CSE,6.87,79.5,93.9,48,30,81,Yes,0,2,68.7,3,Not Placed
